 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
MEBEVERINE HYDROCHLORIDE,"Antispasmodic, Smooth muscle relaxant","Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse",CHRM1,acetylcholine receptor antagonist,,,,,COc1ccc(cc1)CC(C)N(CC)CCCCOC(=O)c1ccc(OC)c(OC)c1,466.018,5.0243,6,0,13,57.23,1,,,,,,,,,,0.1457,,,,,,,,11.22018454,-48.60249735,11.2202,68.1397,Active,0,16.57627023,0,0,Inactive,Inactive,39.81071706,-21.36239117,39.8107,73.2706,Inconclusive,0,-5.529893135,0,0,Inactive,Inactive,0,4.90429728,,,,,,0,-27.33328901,,,,,,,0.4428284855,,,,,,,,NA,NA,Category B2,Use with caution,NA,,
SUMATRIPTAN,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Serotonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR5A, HTR6, HTR7",serotonin receptor agonist,,,,,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.408,1.3212,3,2,6,65.2,0,-0.78,,,,-0.04,,,,,0.2609,15.35,,,,,,,0,0,0,0,Inactive,0,3.335673098,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,11.50400309,,,,,,0,-22.99016512,,,,,,,0.4741406996,Subcutaneous; Oral; Intranasal; Rectal,"A 6mg subcutaneous injection of sumatriptan reaches a Cmax of 69.5ng/mL (95% CI of 62.8-76.9ng/mL) with a Tmax of 0.17h (95% CI of 0.08-0.33h), an AUC of 9.0h*ng/mL (95% CI of 7.5-10.9h*ng/mL); A 25mg oral dose of sumatriptan reaches a Cmax of 16.5ng/mL (95% CI of 13.5-20.1ng/mL) with a Tmax of 1.50h (95% CI of 0.50-2.00h), an AUC of 8.7h*ng/mL (95% CI of 6.1-12.5h*ng/mL); A 20mg intranasal dose of sumatriptan reaches a Cmax of 12.9ng/mL (95% CI of 10.5-15.9ng/mL) with a Tmax of 1.50h (95% CI of 0.25-3.00h), an AUC of 7.4h*ng/mL (95% CI of 5.0-10.8h*ng/mL); A 25mg rectal dose of sumatriptan reaches a Cmax of 22.9ng/mL (95% CI of 18.4-28.6ng/mL) with a Tmax of 1.00h (95% CI of 0.75-3.00h), an AUC of 14.6h*ng/mL (95% CI of 11.3-18.8h*ng/mL)",14-21%,1.70 L/kg,19 mL/min/kg,1.70 hours,14 %,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
zolmitriptan",Severe hepatic impairment; history of stroke; transient ischemic attack,Category B3,Use with caution ,None,,
FEXOFENADINE HYDROCHLORIDE,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,8,pKi,OC(CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1)c1ccc(cc1)C(C)(C)C(=O)O,538.128,5.9323,4,3,10,81,1,,,,,,,,,,0.1118,,,,,,,,6.309573445,-10.71723336,6.3096,32.3993,Inconclusive,0,8.438076289,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,9.02137978,0,0,Inactive,Inactive,0,6.428590678,,,,,,0,-3.817467539,,,,,,,0.592778335,Oral,"The Tmax following oral administration is approximately 1-3 hours; The steady-state AUCss(0-12h) and Cmax following twice daily dosing of 60mg are 1367 ng/mL.h and 299 ng/mL, respectively",60-70%,The volume of distribution is approximately 5.4-5.8 L/kg.[A1495],The oral clearance of fexofenadine is approximately 50.6 L/h and the renal clearance is approximately 4.32 L/h.[L10779],"The terminal elimination half-life is approximately 11-15 hours.[L10779,A1495]",70 %,None,Hypersensitivity,Category B2,Use with caution,None,,
LOFEXIDINE  HYDROCHLORIDE,Antihypertensive,Neuroactive ligand-receptor interaction,,adrenergic receptor agonist,,,8.36,pKi,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,295.597,3.1842,3,1,3,33.62,1,,,,,-0.11,,,,0.03818,0.1853,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6035489167,Oral,"After oral administration of 0.8 mg of lofexidine, a maximal dose of 1.26 ng/ml is achieved after 3 hours",55% of administered dose,"Lofexidine has a volume of distribution of 300 L, indicating that it distributes readily into the tissues.[L2801]",The total elimination clearance following intravenous administration is 17.6 L/h.[L2801],The reported elimination half-life of lofexidine is 11 hours.[T55],90 %,None,None,NA,Use with caution,NA,,
ALFUZOSIN HYDROCHLORIDE,"Antidysuria, Antihypertensive","cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",adrenergic receptor antagonist,,,8.55,pKi,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,425.917,1.7725,8,2,8,111.83,1,,,,,,,,,,0.1086,,,,,,,,39.81071706,-19.93802843,39.8107,68.3852,Inconclusive,15.84893192,-53.08760273,0,0,Inactive,Inactive,39.81071706,-32.49831445,39.8107,111.466,Inconclusive,0,-63.21129643,0,0,Inactive,Inactive,0,5.573321162,,,,,,0,-10.16535314,,,,,,,0.6098294885,Oral,,82-90%,1.50 L/kg,5.90 mL/min/kg,4.80 hours,55 %,"atazanavir
ceritinib
chloramphenicol
cisapride
clarithromycin
cobicistat
darunavir
dronedarone
elvitegravir/cobicistat/emtricitabine/tenofovir DF
fluconazole
fosamprenavir
idelalisib
indinavir
itraconazole
ketoconazole
lefamulin
lopinavir
mifepristone
nefazodone
nelfinavir
ombitasvir/paritaprevir/ritonavir & dasabuvir
posaconazole
ritonavir
saquinavir
thioridazine
tipranavir
voriconazole","Hypersensitivity
Moderate to severe liver impairment",Category B2,Not recommended,None,,
FAMCICLOVIR,Antiviral,DNA synthesis/replication,,DNA polymerase inhibitor,,,,,CC(=O)OCC(COC(=O)C)CCn1cnc2cnc(N)nc12,321.337,0.541,9,1,7,122.22,0,-6.05,,,,-0.08,,,,0.2587,0.02613,9.899,,,,,,,0,-4.229773263,0,0,Inactive,0,-3.23016764,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.0731731,0,0,Inactive,Inactive,0,4.567967581,,,,,,0,-23.13213711,,,,,,,0.7183836702,Oral,,20-25%,* 1.08±0.17 L/kg [healthy male subjects following a single intravenous dose of penciclovir at 400 mg administered as a 1-hour intravenous infusion],"* 36.6 +/- 6.3 L/hr [healthy male]
 * 0.48 +/- 0.09 L/hr/kg [healthy male]",10 hours,77 %,Varicella virus vaccine live; zoster vaccine live,Hypersensitivity,Category B1,Use with caution,NA,,
NEFOPAM,Analgesic,NA,,cyclooxygenase inhibitor,,,,,CN1CCOC(c2ccccc2)c2ccccc2C1,253.345,3.238,2,0,1,12.47,1,-6.62,,,,-0.05,,,,,,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7812158604,,,,5.60 L/kg,12 mL/min/kg,5 hours,36 %,NA,NA,NA,Recommended,NA,,
ALMOTRIPTAN,Antimigraine,"Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1B, HTR1D",serotonin receptor agonist,,,8,pKi,CN(C)CCc1c[nH]c2ccc(cc12)CS(=O)(=O)N1CCCC1,335.473,2.1976,3,1,6,56.41,0,,,,,,,,,,0.03586,,,,,,,,0,2.282377859,0,0,Inactive,0,2.472437747,0,0,Inactive,Inactive,0,-10.60258012,0,0,Inactive,0,2.283325508,0,0,Inactive,Inactive,0,1.421262512,,,,,,0,-16.28695685,,,,,,,0.8485456369,Oral,,35%,2.20 L/kg,8.90 mL/min/kg,3.40 hours,70 %,"bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan","Hypersensitivity, severe hepatic or renal impairment, migraine prophylaxis",NA,Not recommended,None,,
VALACYCLOVIR HYDROCHLORIDE,Antiviral,DNA synthesis/replication,,,,,,,Nc1[nH]c(=O)c2ncn(COCCOC(=O)[C@@H](N)C(C)C)c2n1,360.802,-0.3758,9,3,7,151.14,1,,,,,-0.2,,,,,0.03059,6.38,,,,,,,39.81071706,-53.01135434,39.8107,66.7301,Inconclusive,0,0.2856305278,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.4495417646,,,,,,0,-15.30384158,,,,,,,0.8860010909,Oral; Intravenous,,13.5-17.9%,"Cerebrospinal fluid (CSF) penetration, determined by CSF/plasma AUC ratio, is approximately 25% for aciclovir and the metabolite 8-hydroxy-aciclovir (8-OH-ACV), and approximately 2.5% for the metabolite 9-(carboxymethoxy)methylguanine; In a study of immunocompromised pediatric patients, the volume of distribution of a 15 ml/kg dose of valacyclovir was 1.34 ± 0.65 L/kg","Renal clearance of acyclovir following the administration of a single 1 gram dose of valacylcovir to 12 healthy
 437 volunteers was approximately 255 ± 86 mL/min, which represents 42% of total acyclovir apparent plasma clearance [FDA label].",The plasma elimination half-life of acyclovir typically averaged 2.5 to 3.3 hours in several studies of valacyclovir in volunteers with normal renal function [FDA label].,The absolute bioavailability of acyclovir after administration of valacyclovir was measured at 54.5% ± 9.1% after the administration of a 1 gram oral dose of valacyclovir and a 350 mg intravenous (IV) acyclovir dose to 12 healthy subjects,None,Hypersensitivity,Category B3,Use with caution,NA,,
GRAMICIDIN (gramicidin A shown),Antibacterial,NA,,bacterial permeability inducer,,,,,OCCNC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(C)C)C(C)C)C(C)C)Cc1c[nH]c2ccccc12)Cc1c[nH]c2ccccc12)Cc1c[nH]c2ccccc12)Cc1c[nH]c2ccccc12,1882.332,4.3723,17,21,53,548.99,14,21.89,,,,0.19,,,,,,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2468409332,,,,,,,,NA,NA,NA,NA,NA,,
EUGENOL,"Analgesic (dental), Disinfectant",NA,AR,androgen receptor antagonist,,,,,C=CCc1ccc(O)c(OC)c1,164.204,2.1293,2,1,3,29.46,0,,,,,0.02,,,,,0.2298,14.47,,,,,,,0,-31.5538779,0,0,Inactive,0,3.323220378,0,0,Inactive,Inactive,0,-34.51470758,0,0,Inactive,0,-4.625409364,0,0,Inactive,Inactive,0,-3.521465349,,,,,,0,-15.39638851,,,,,,,0.3390790054,,,,,,,,NA,NA,NA,NA,NA,,
ANTAZOLINE,Antiallergic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,antihistamine,,,,,c1ccc(cc1)CN(CC1=NCCN1)c1ccccc1,265.36,2.6949,3,1,5,27.63,0,,,,,,,,,,0.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3891675025,,,,3.90 L/kg,19.67 mL/min/kg,2.29 hours,,NA,NA,NA,NA,NA,,
CAPSAICIN,Analgesic (topical),Neuroactive ligand-receptor interaction,"CFTR, TRPV1",TRPV agonist,,,,,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,305.418,3.7896,3,2,9,58.56,0,1.12,,,,-0.12,,,,,0.1538,26.63,,,,,,,0,-27.8973115,,,,0,-18.37713327,,,,,,,,,,,,,,,,0,-3.374946234,,,,,,0,-12.08591899,,,,,,,0.598152436,Oral,,,,,"Following oral ingestion of equipotent dose of 26.6 mg of pure capsaicin, the half life was approximately 24.9 ± 5.0 min [A32319]. Following topical application of 3% solution of capsaicin, the half-life of capsaicin was approximately 24 h [A32319]. The mean population elimination half-life was 1.64 h following application of a topical patch containing 179 mg of capsaicin [A32319].",,None,Hypersensitivity,NA,,None,,
HEXYLRESORCINOL,"Anthelmintic, Antiseptic",NA,TYR,,,,,,CCCCCCc1ccc(O)cc1O,194.274,3.2206,2,2,5,40.46,0,9.12,,,,0.01,,,,,0.2337,15.77,,,,,,,0,-266.743467,0,0,Inactive,0,-114.8138944,0,0,Inactive,Inactive,0.8912509381,-157.3408152,0.8913,93.7561,Active,39.81071706,-46.89155104,39.8107,90.6664,Inconclusive,Cytotoxic,0,-1.324503769,,,,,,0,-36.13365309,,,,,,,0.3343807691,,,,"Readily accessible data regarding the volume of distribution of hexylresorcinol is not available. Nevertheless, when hexylresorcinol is employed in its primary indication as a topical antiseptic or an oral anesthetic, it is generally accepted that pharmacokinetic considerations do not arise since the pharmacological action is local to the topically applied or oro-pharyngeal cavity area [L2735, F57, F58].","Readily accessible data regarding the clearance of hexylresorcinol is not available. Nevertheless, when hexylresorcinol is employed in its primary indication as a topical antiseptic or an oral anesthetic, it is generally accepted that pharmacokinetic considerations do not arise since the pharmacological action is local to the topically applied or oro-pharyngeal cavity area [L2735, F57, F58].","Readily accessible data regarding the half-life of hexylresorcinol is not available. Nevertheless, when hexylresorcinol is employed in its primary indication as a topical antiseptic or an oral anesthetic, it is generally accepted that pharmacokinetic considerations do not arise since the pharmacological action is local to the topically applied or oro-pharyngeal cavity area [L2735, F57, F58].",,NA,Hypersensitivity,Category C,No sufficient information is available,NA,,
CYCLIZINE,Anti-emetic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",,histamine receptor antagonist,,,8.35,pKi,CN1CCN(CC1)C(c1ccccc1)c1ccccc1,266.388,3.0234,2,0,3,6.48,0,-0.71,,,,0.01,,,,,0.1379,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5582926836,Oral,,,16.50 L/kg,14.50 mL/min/kg,13.53 hours,,None,"Not to be used in asthma, glaucoma, emphysema, chronic pulmonary disease, shortness of breath, difficulty in breathing or difficulty in urination due to enlargement of the prostate gland",Category B3,Not recommended,NA,,
PROCYCLIDINE HYDROCHLORIDE,"Antiparkinsonian, Skeletal muscle relaxant","Neuroactive ligand-receptor interaction, Cholinergic synapse",,acetylcholine receptor antagonist,,,8.34,pKi,OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1,323.908,4.3622,2,1,5,23.47,1,,,,,,,,,,0.2175,,,,,,,,39.81071706,-18.35942803,10,30.4467,Inconclusive,0,-0.0800553225,0,0,Inactive,Inactive,3.548133892,-71.05067187,3.5481,59.2229,Inconclusive,0,-7.828989871,0,0,Inactive,Inactive,0,22.30231787,,,,,,0,-10.54761591,,,,,,,0.2006018054,Oral,,100%,0.74 L/kg,0.86 mL/min/kg,12 hours,,NA,NA,Category A,NA,None,,
MESALAMINE,Anti-inflammatory,NA,,,,7.53E+03,5.12,pIC50,Nc1ccc(O)c(c1)C(=O)O,153.137,0.6726,3,3,1,83.55,0,-4.82,,,,-0.12,,,,0.3772,0.1964,7.437,,,,,,,31.6227766,-164.1986062,31.6228,32.152,Inconclusive,0,0,0,0,Inactive,Inactive,0,-5.192578285,0,0,Inactive,0,1.672845397,0,0,Inactive,Inactive,0,0.8431713774,,,,,,0,-18.29646341,,,,,,,0.5507846263,Oral,,43%,0.33 L/kg,9.30 mL/min/kg,0.61 hours,,None,Hypersensitivity; breastfeeding,NA,Use with caution,None,,
GUANETHIDINE,Antihypertensive,Synaptic vesicle cycle,SLC6A2,adrenergic inhibitor,,,,,NC(=N)NCCN1CCCCCCC1,198.314,0.73557,2,3,3,65.14,0,,,,,,,,,,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5727181545,Oral,,,,* Renal cl=56 ml/min,1.5 days,20 %,NA,NA,Category A,NA,NA,,
GEMFIBROZIL,Antihyperlipidemic,"PPAR signaling pathway, Adipocytokine signaling pathway","LPL, PPARA, SLCO1B1, SLCO1B3, SLCO2B1",lipoprotein lipase activator,,,4.23,pEC50,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.338,3.57324,2,1,6,46.53,0,3.12,,,,-0.17,,,,0.2785,0.05216,31.76,,,,,,,0,-18.64106194,0,0,Inactive,0,10.20667815,0,0,Inactive,Inactive,0,14.91858108,0,0,Inactive,0,-0.9400841229,0,0,Inactive,Inactive,0,-2.824674194,,,,,,0,-27.77773778,,,,,,,0.6340632601,Oral,"In healthy volunteers, a 900mg oral dose of gemfibrozil has a Cmax of 46±16µg/mL with a Tmax of 2.2±1.1h; In patients with chronic renal failure, gemfibrozil has a Cmax of 13.8±11.1µg/mL with a Tmax of 2.3±1.0h;  In patients with liver disease, gemfibrozil has a Cmax of 23.0±10.3µg/mL with a Tmax of 2.6±1.7h",99%,The volume of distribution of gemfibrozil is estimated to be 0.8L/kg.[A185807],The clearance of gemfibrozil is estimated to be 6.0L/h.[A185807],Gemfibrozil has a plasma half-life of 1.5 hours.[L8525] In patients with renal failure the half life is 2.4h and in patients with liver disease the half life is 2.1h.[A185813],98 %,Atorvastatin; elagolix; enzalutamide; fluvastatin; ombitasvir/paritaprevir/ritonavir & dasabuvir; pitavastatin; pravastatin; repaglinide; rosuvastatin; selexipag; simvastatin,Hypersensitivity;,Category B3,Not recommended,NA,,
SULFACETAMIDE,Antibacterial,Folate biosynthesis,,PABA antagonist,,,,,Nc1ccc(cc1)S(=O)(=O)NC(=O)C,214.246,0.0936,4,2,2,89.26,0,-3.73,,,,-0.23,,,,,0.2126,13.66,,,,,,,0,-21.97239218,0,0,Inactive,0,-36.12405438,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-79.78038325,0,0,Inactive,Inactive,0,-3.162920785,,,,,,0,-15.75799731,,,,,,,0.6468856512,,,,,,7-12.8 hours,,NA,NA,Category C,Not recommended,NA,,
BENZONATATE,Antitussive,NA,SCN5A,local anesthetic,,,,,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(NCCCC)cc1,603.75,2.8346,12,1,32,121.4,0,,,,,,,,,,0.09156,,,,,,,,44.66835922,-177.1939654,0,0,Inactive,28.18382931,-1.062552279,0,0,Inactive,Inactive,39.81071706,-31.74484979,39.8107,108.881,Inconclusive,0,-5.035545993,0,0,Inactive,Inactive,0,-7.958129668,,,,,,0,-10.87862823,,,,,,,0.6790371113,Oral,The Cmax of benzonatate following oral administration of 100 mg in healthy Chinese volunteers was 1063 ± 460 ng/mL,,There is limited information on the volume of distribution of benzonatate.,There is limited information on the clearance of benzonatate.,The half life of benzonatate following oral administration of 100 mg in healthy Chinese volunteers was 1.01 ± 0.41 h.[A190267],,NA,Hypersensitivity,Category C,Use with caution,NA,,
DEXTROMETHORPHAN HYDROBROMIDE,Antitussive,"Neuroactive ligand-receptor interaction, Glutamatergic synapse","CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4","glutamate receptor antagonist, sigma receptor agonist",,,5.7,pIC50,COc1ccc2C[C@@H]3N(C)CC[C@]4(CCCC[C@H]34)c2c1,352.316,3.9613,2,0,1,12.47,3,,,,,,,,,,0.09056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6810431294,Oral,"A 30mg oral dose of dextromethorphan reaches a Cmax of 2.9 ng/mL, with a Tmax of 2.86 h, and an AUC of 17.8 ng*h/mL",60-70%,The volume of distribution of dextromethorphan is 5-6.7L/kg.[A215382],,Dextromethorphan has a half life of 3-30 hours.[A215382],11 %,Isocarboxazid; phenelzine; procarbazine; rasagiline; safinamide; selegiline; tranylcypromine,Serotonin syndrome,Category A,Not recommended,NA,,
CLIDINIUM BROMIDE,Anti-ulcerative,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM3",acetylcholine receptor antagonist,,,9.6,pKi,O=C(OC1C[N+]2(C)CCC1CC2)C(O)(c1ccccc1)c1ccccc1,432.358,-0.2915,3,1,4,46.53,3,,,,,-0.17,,,,,0.116,18.17,,,,,,,0,8.375349043,0,0,Inactive,0,16.10495424,0,0,Inactive,Inactive,0,0.7231716431,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,4.522916816,,,,,,0,-8.249829588,,,,,,,0.7257132041,,,,,,,,None,"Hypersensitivity
Glaucoma
Prostatic hypertrophy
Benign bladder neck obstruction
Severe respiratory depression",NA,NA,None,,
GLUCONOLACTONE,Chelating agent,NA,LCT,,,,,,OC[C@@H]1OC(=O)[C@@H](O)[C@H](O)[C@H]1O,178.14,-3.0132,6,4,1,107.22,4,13.48,,,,-0.12,,,,,,-1.322,,,,,,,0,-29.21710069,0,0,Inactive,0,3.367739276,0,0,Inactive,Inactive,0,1.362696216,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,4.157283012,,,,,,0,-29.17980059,,,,,,,0.5308183272,,,,,,,,NA,NA,NA,NA,NA,,
METAPROTERENOL,Bronchodilator,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction",ADRB2,adrenergic receptor agonist,,,,pKd (6.30),CC(C)NCC(O)c1cc(O)cc(O)c1,211.261,1.1292,4,4,4,72.72,1,-4.16,,,,0.18,,,,,-0.1316,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7021328707,Oral,,,6.03 L/kg,14.07 mL/min/kg,6.41 hours,,NA,Hypersensitivity; Tachycardia,Category C,Use with caution,NA,,
METHENAMINE,"Antibacterial, Antiseptic",NA,,bacterial DNA inhibitor,,,,,C1N2CN3CN1CN(C2)C3,140.19,-1.0198,4,0,0,12.96,4,-2.65,,,,-0.12,,,,0.2897,0.2305,6.189,,,,,,,0,-77.16225557,0,0,Inactive,0,-6.87848719,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-1.354548881,0,0,Inactive,Inactive,0,1.60659242,,,,,,0,-8.194069743,,,,,,,0.5219227358,Oral,,,,70-90% of a single oral dose of methenamine is excreted unchanged in the urine within 24 hours. (1),Elimination half-life = 3-4 hours assuming normal renal function. (1),,NA,Hypersensitivity; Severe ranal/hepatic insufficiency,Category A,Use with caution,NA,,
ORPHENADRINE CITRATE,Skeletal muscle relaxant,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Glutamatergic synapse",,acetylcholine receptor antagonist,,,5.2,pIC50,CN(C)CCOC(c1ccccc1)c1ccccc1C.OC(=O)CC(O)(CC(=O)O)C(=O)O,461.511,2.41412,6,4,11,144.6,1,,,,,0.03,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4882948434,Oral; Parenteral,,95%,,,13-20 hours,,NA,"Hypersensitivity; Narrow-angle glaucoma; Pyloric/duodenal obstruction, BPH, stenosing peptic ulcers, cardiospasm (mega-esophagus), myasthenia gravis, obstructive uropathy, paralytic ileus, ulcerative colitis, toxic megacolon, achalasia",Category B2,Not recommended,NA,,
Uridine,NA,NA,"LSM6, TYMP",dopamine receptor agonist,,,,,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,244.203,-2.8519,7,4,2,124.78,4,3.88,,,,-0.22,,,,,,31.53,,,,,,,0,-156.6250647,,,,0,-2.34956466,,,,,,,,,,,,,,,,0,11.74001397,,,,,,0,-17.50930674,,,,,,,0.6949622337,Oral; Parenteral,,,,,,,NA,NA,NA,Use with caution,NA,,
MANNITOL,"Diuretic, Antihypertensive (intracranial, intraocular), Diagnostic aid (renal function determination)",NA,,,,,,,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,182.172,-3.5854,6,6,5,121.38,4,-29.88,,,,0.08,,,,,,13.85,,,,,,,0,0,,,,0,-0.046902475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042541035,Parenteral; Inhalation,13.71 μg/mL (inhalation),,0.24 L/kg,1.20 mL/min/kg,4.70 hours,7 %,NA,Hypersensitivity; Anuria; hypovolemia,Category B2,Use with caution,NA,,
Ondansetron,Anti-emetic,Serotonergic synapse,"HTR3A, HTR3B",serotonin receptor antagonist,,0.09,10.04,pIC50,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,293.37,3.12852,4,0,2,39.82,1,,,,,0.43,,,,,0.03849,21.17,,,,,,,39.81071706,-36.62229775,39.8107,63.8372,Inconclusive,0,10.04653386,0,0,Inactive,Inactive,0,10.20955714,0,0,Inactive,0,5.856562314,0,0,Inactive,Inactive,0,-1.764642754,,,,,,0,-19.86649003,,,,,,,0.5214406268,Oral; Parenteral,,"The plasma protein binding associated with ondansetron was documented as approximately 73% [F3181, F3184].",1.80 L/kg,5.80 mL/min/kg,3.40 hours,62 %,Apomorphine; dronedarone; lefamulin; posaconazole,Hypersensitivity,Category B1,Not recommended,NA,,
Inosine,Immunostimulant,NA,"PARP1, PNP",neurotrophic agent,,,,,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,268.229,-2.2689,8,4,2,133.49,4,,,,,,,,,-0.08895,,,,,,,,,0,1.986363677,0,0,Inactive,0,-4.685728235,0,0,Inactive,Inactive,0,-173.8535381,0,0,Inactive,0,-16.92537026,0,0,Inactive,Inactive,0,-4.486351467,,,,,,0,-23.27471509,,,,,,,0.9222222222,NA,,,,,,,NA,NA,NA,NA,NA,,
Carglumic Acid,Antihyperammonemic,NA,CPS1,carbamoyl phosphate synthase activator,,,,,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,190.155,-1.0273,3,4,5,129.72,1,7.18,,,,-0.08,,,,,0.1387,-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515083448,Oral,2.6 μg/mL,,The apparent volume of distribution was 2657 L (range: 1616-5797).,"The apparent total clearance was 5.7 L/min (range 3.0-9.7), the renal clearance was 290 mL/min (range 204-445), and the 24-hour urinary excretion was 4.5 % of the dose (range 3.5-7.5).",Median values for the terminal half-life was 5.6 hours (range 4.3-9.5).,0.3,NA,NA,Category B1,Not recommended,NA,,
L-Cycloserine,Antibacterial (tuberculostatic),"D-Alanine metabolism, Peptidoglycan biosynthesis",,,,2.62E+05,3.58,pIC50,N[C@H]1CONC1=O,102.093,-1.6249,3,2,0,64.35,1,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.32265073,,,,,,0,-23.14784954,,,,,,,0.00987654321,Oral,,,,,,,NA,NA,Category C,Use with caution,NA,,
